2.778088035084761032e+01,9.649668111632817613e+01
3.896215163641305139e+02,1.517225716105947413e+02
5.628934503530058464e+01,5.942103373634125774e+01
3.860038049216294667e+02,1.286721753139715929e+02
2.778088035084761032e+01,9.649668111632817613e+01
3.940923086303529885e+02,1.785866664126062346e+02
1.791206691975867216e+01,1.153146954013872403e+02
3.926719469418012523e+02,1.496517411064949101e+02
3.092510484928567394e+01,9.139130900096576227e+01
3.721917127535269287e+02,9.961094981804392035e+01
5.724545076728833237e+01,5.844996792690460552e+01
3.949548197762069321e+02,2.017242333204530951e+02
2.366023349940084586e+01,1.052629238727412258e+02
3.606233451251302995e+02,8.185852068386701319e+01
2.133233420952363986e+02,3.985205145539475780e+02
2.539321924517557818e+02,7.569318698403463941e+00
2.286447882743295850e+02,3.925288495667940651e+02
2.875539299929669710e+02,2.048392414983041476e+01
2.743842694485531979e+02,3.794204746898003009e+02
1.696720847003438166e+02,2.242438753601788903e+00
2.573665097871146941e+02,3.904233276607595826e+02
2.747470928362442919e+02,1.473494643279096294e+01
2.523036125019854126e+02,3.872440751558061720e+02
1.935128633973515377e+02,8.985934686964469620e-02
3.092824697617595007e+02,3.660774874735730009e+02
2.897704770733073474e+02,2.159134093879103489e+01
2.833235654938609969e+02,3.753779514327758307e+02
1.767674165760391531e+02,1.299395432625715330e+00
2.462544998849933791e+02,3.888876922400293097e+02
2.126797866588788963e+02,5.842208532010033650e-01
3.044095977455896218e+02,3.691886157078859014e+02
2.667889789790805821e+02,1.255328499257811359e+01
2.494149007278070656e+02,3.926547376725022787e+02
1.896615887397279039e+02,2.427399970737553758e-01
2.772896230134622897e+02,3.832090758547966516e+02
3.056123128429700841e+02,3.221848920177501441e+01
2.944348904413496371e+02,3.695752074388508390e+02
2.597332705042155681e+02,9.310086691312676521e+00
3.114717997982261295e+02,3.587968655949428580e+02
2.936764053632066407e+02,2.362773193915708703e+01
3.258773511994123737e+02,3.475849949162898156e+02
3.267038662601257784e+02,4.812593617553434910e+01
2.404223524194819959e+02,3.902794637993833931e+02
2.507464792158708065e+02,6.694272989681849140e+00
2.113207074082044414e+02,3.945158319697602565e+02
1.667589907941641627e+02,2.407098148070190291e+00
2.422825838291470859e+02,3.898558426083944255e+02
